,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr),Time
0,Adani Ports,Transport Infrastructure,229.9,22.1,10.64,46709.97,2020-03-24 15:02:36.074044
1,Asian Paints,Paints,1510.5,12.05,0.8,144886.83,2020-03-24 15:02:36.074044
2,Axis Bank,Bank - Private,305.7,-2.95,-0.96,86251.46,2020-03-24 15:02:36.074044
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1923.5,-12.05,-0.62,55659.75,2020-03-24 15:02:36.074044
4,Bajaj Finance,Finance - NBFC,2432.0,165.85,7.32,146330.78,2020-03-24 15:02:36.074044
5,Bajaj Finserv,Finance - Investment,4345.55,-275.5,-5.96,69153.91,2020-03-24 15:02:36.074044
6,Bharti Airtel,Telecommunication - Service Provider,403.65,-3.7,-0.91,220213.57,2020-03-24 15:02:36.074044
7,Bharti Infratel,Telecommunication - Equipment,139.95,-3.45,-2.41,25885.27,2020-03-24 15:02:36.074044
8,BPCL,Refineries,257.1,-12.25,-4.55,55771.49,2020-03-24 15:02:36.074044
9,Britannia,Consumer Food,2349.95,212.1,9.92,56508.85,2020-03-24 15:02:36.074044
10,Cipla,Pharmaceuticals & Drugs,373.55,-1.7,-0.45,30116.92,2020-03-24 15:02:36.074044
11,Coal India,Coal,128.1,0.25,0.2,78944.55,2020-03-24 15:02:36.074044
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2872.95,104.55,3.78,47740.41,2020-03-24 15:02:36.074044
13,Eicher Motors,Automobile - LCVS/ HVCS,14300.95,595.05,4.34,39049.42,2020-03-24 15:02:36.074044
14,GAIL,Gas Distribution,76.5,-1.5,-1.92,34797.36,2020-03-24 15:02:36.074044
15,Grasim,Diversified,403.0,-30.25,-6.98,26509.3,2020-03-24 15:02:36.074044
16,HCL Tech,IT Services & Consulting,438.0,20.85,5.0,118858.53,2020-03-24 15:02:36.074044
17,HDFC,Finance - Housing,1520.5,-0.2,-0.01,263347.13,2020-03-24 15:02:36.074044
18,HDFC Bank,Bank - Private,761.45,-10.1,-1.31,417524.85,2020-03-24 15:02:36.074044
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1626.15,10.15,0.63,32480.62,2020-03-24 15:02:36.074044
20,Hindalco,Iron & Steel,88.55,0.65,0.74,19890.3,2020-03-24 15:02:36.074044
21,HUL,Household & Personal Products,2042.65,172.95,9.25,442197.17,2020-03-24 15:02:36.074044
22,ICICI Bank,Bank - Private,296.7,12.7,4.47,192038.75,2020-03-24 15:02:36.074044
23,IndusInd Bank,Bank - Private,305.5,-30.95,-9.2,21187.52,2020-03-24 15:02:36.074044
24,Infosys,IT Services & Consulting,579.25,52.8,10.03,246690.83,2020-03-24 15:02:36.074044
25,IOC,Refineries,79.65,-1.1,-1.36,74983.78,2020-03-24 15:02:36.074044
26,ITC,Cigarettes/Tobacco,148.95,-5.35,-3.47,183092.78,2020-03-24 15:02:36.074044
27,JSW Steel,Iron & Steel,146.5,2.1,1.45,35412.28,2020-03-24 15:02:36.074044
28,Kotak Mahindra,Bank - Private,1133.6,35.35,3.22,216797.2,2020-03-24 15:02:36.074044
29,Larsen,Engineering & Construction,700.85,-23.2,-3.2,98391.77,2020-03-24 15:02:36.074044
30,M&M,Automobile - Auto & Truck Manufacturers,267.55,-25.85,-8.81,33261.62,2020-03-24 15:02:36.074044
31,Maruti Suzuki,Automobile - Passenger Cars,4451.0,230.65,5.47,134455.83,2020-03-24 15:02:36.074044
32,Nestle,Consumer Food,13500.2,555.55,4.29,130163.14,2020-03-24 15:02:36.074044
33,NTPC,Power Generation/Distribution,76.25,-0.15,-0.2,75446.0,2020-03-24 15:02:36.074044
34,ONGC,Oil Exploration and Production,62.25,1.85,3.06,78312.24,2020-03-24 15:02:36.074044
35,Power Grid Corp,Power Generation/Distribution,146.85,-6.15,-4.02,76825.89,2020-03-24 15:02:36.074044
36,Reliance,Oil Exploration and Production,941.7,57.65,6.52,596968.82,2020-03-24 15:02:36.074044
37,SBI,Bank - Public,182.5,0.9,0.5,162874.16,2020-03-24 15:02:36.074044
38,Sun Pharma,Pharmaceuticals & Drugs,336.3,11.8,3.64,80689.64,2020-03-24 15:02:36.074044
39,Tata Motors,Automobile - LCVS/ HVCS,68.1,1.9,2.87,21035.9,2020-03-24 15:02:36.074044
40,Tata Steel,Iron & Steel,273.05,1.9,0.7,30758.8,2020-03-24 15:02:36.074044
41,TCS,IT Services & Consulting,1705.25,35.55,2.13,639875.4,2020-03-24 15:02:36.074044
42,Tech Mahindra,IT Services & Consulting,503.2,16.0,3.28,49632.06,2020-03-24 15:02:36.074044
43,Titan Company,Diamond  &  Jewellery,810.55,9.6,1.2,71959.51,2020-03-24 15:02:36.074044
44,UltraTechCement,Cement,3001.5,-53.35,-1.75,86630.34,2020-03-24 15:02:36.074044
45,UPL,Pesticides & Agrochemicals,265.4,10.8,4.24,20277.77,2020-03-24 15:02:36.074044
46,Vedanta,Metals - Non Ferrous,62.65,0.0,0.0,23288.24,2020-03-24 15:02:36.074044
47,Wipro,IT Services & Consulting,175.65,5.5,3.23,100355.12,2020-03-24 15:02:36.074044
48,Yes Bank,Bank - Private,35.15,-4.6,-11.57,44114.91,2020-03-24 15:02:36.074044
49,Zee Entertain,TV Broadcasting & Software Production,119.3,-2.7,-2.21,11458.56,2020-03-24 15:02:36.074044
0,Adani Ports,Transport Infrastructure,230.75,22.95,11.04,46882.67,2020-03-24 15:03:37.435325
1,Asian Paints,Paints,1513.0,14.55,0.97,145126.63,2020-03-24 15:03:37.435325
2,Axis Bank,Bank - Private,303.05,-5.6,-1.81,85503.78,2020-03-24 15:03:37.435325
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1924.1,-11.45,-0.59,55677.11,2020-03-24 15:03:37.435325
4,Bajaj Finance,Finance - NBFC,2433.5,167.35,7.38,146421.03,2020-03-24 15:03:37.435325
5,Bajaj Finserv,Finance - Investment,4328.85,-292.2,-6.32,68888.15,2020-03-24 15:03:37.435325
6,Bharti Airtel,Telecommunication - Service Provider,403.55,-3.8,-0.93,220159.02,2020-03-24 15:03:37.435325
7,Bharti Infratel,Telecommunication - Equipment,140.15,-3.25,-2.27,25922.26,2020-03-24 15:03:37.435325
8,BPCL,Refineries,258.4,-10.95,-4.07,56053.49,2020-03-24 15:03:37.435325
9,Britannia,Consumer Food,2352.9,215.05,10.06,56579.79,2020-03-24 15:03:37.435325
10,Cipla,Pharmaceuticals & Drugs,373.1,-2.15,-0.57,30080.64,2020-03-24 15:03:37.435325
11,Coal India,Coal,127.75,-0.1,-0.08,78728.85,2020-03-24 15:03:37.435325
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2872.4,104.0,3.76,47731.27,2020-03-24 15:03:37.435325
13,Eicher Motors,Automobile - LCVS/ HVCS,14339.9,634.0,4.63,39155.78,2020-03-24 15:03:37.435325
14,GAIL,Gas Distribution,76.45,-1.55,-1.99,34774.62,2020-03-24 15:03:37.435325
15,Grasim,Diversified,402.2,-31.05,-7.17,26456.67,2020-03-24 15:03:37.435325
16,HCL Tech,IT Services & Consulting,440.3,23.15,5.55,119482.67,2020-03-24 15:03:37.435325
17,HDFC,Finance - Housing,1521.2,0.5,0.03,263468.37,2020-03-24 15:03:37.435325
18,HDFC Bank,Bank - Private,758.2,-13.35,-1.73,415742.78,2020-03-24 15:03:37.435325
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1628.55,12.55,0.78,32528.55,2020-03-24 15:03:37.435325
20,Hindalco,Iron & Steel,88.45,0.55,0.63,19867.84,2020-03-24 15:03:37.435325
21,HUL,Household & Personal Products,2037.25,167.55,8.96,441028.17,2020-03-24 15:03:37.435325
22,ICICI Bank,Bank - Private,299.85,15.85,5.58,194077.59,2020-03-24 15:03:37.435325
23,IndusInd Bank,Bank - Private,307.85,-28.6,-8.5,21350.5,2020-03-24 15:03:37.435325
24,Infosys,IT Services & Consulting,584.1,57.65,10.95,248756.34,2020-03-24 15:03:37.435325
25,IOC,Refineries,79.55,-1.2,-1.49,74889.63,2020-03-24 15:03:37.435325
26,ITC,Cigarettes/Tobacco,148.1,-6.2,-4.02,182047.94,2020-03-24 15:03:37.435325
27,JSW Steel,Iron & Steel,146.85,2.45,1.7,35496.88,2020-03-24 15:03:37.435325
28,Kotak Mahindra,Bank - Private,1134.4,36.15,3.29,216950.2,2020-03-24 15:03:37.435325
29,Larsen,Engineering & Construction,700.2,-23.85,-3.29,98300.52,2020-03-24 15:03:37.435325
30,M&M,Automobile - Auto & Truck Manufacturers,265.0,-28.4,-9.68,32944.6,2020-03-24 15:03:37.435325
31,Maruti Suzuki,Automobile - Passenger Cars,4447.35,227.0,5.38,134345.58,2020-03-24 15:03:37.435325
32,Nestle,Consumer Food,13450.0,505.35,3.9,129679.14,2020-03-24 15:03:37.435325
33,NTPC,Power Generation/Distribution,76.4,0.0,0.0,75594.42,2020-03-24 15:03:37.435325
34,ONGC,Oil Exploration and Production,62.5,2.1,3.48,78626.75,2020-03-24 15:03:37.435325
